lemma,count,observed_forms,noun,proper_noun,verb,auxiliary,adjective,adverb,pronoun,other
skill,92,skills=71; skill=21,90,0,2,0,0,0,0,0
value,92,value=50; values=37; valued=4; valuing=1,79,0,13,0,0,0,0,0
color,91,color=50; colors=39; coloring=2,88,1,2,0,0,0,0,0
language,91,language=57; languages=34,90,1,0,0,0,0,0,0
late,91,late=76; latest=12; later=3,0,2,0,0,49,40,0,0
model,91,models=54; model=34; modeling=3,85,0,6,0,0,0,0,0
post,91,post=62; posted=22; posts=4; posting=3,55,3,29,0,4,0,0,0
soil,91,soil=90; soils=1,91,0,0,0,0,0,0,0
due,90,due=89; dues=1,1,0,0,0,55,0,0,34
performance,90,performance=65; performances=25,88,1,1,0,0,0,0,0
factor,89,factors=77; factor=12,89,0,0,0,0,0,0,0
run,89,run=48; running=24; ran=13; runs=4,8,1,80,0,0,0,0,0
sleep,89,sleep=81; sleeping=7; slept=1,70,6,13,0,0,0,0,0
encourage,88,encourage=50; encouraged=15; encourages=15; encouraging=8,0,0,88,0,0,0,0,0
lecture,88,lecture=79; lectures=9,87,1,0,0,0,0,0,0
ocean,88,ocean=76; oceans=12,81,5,2,0,0,0,0,0
subject,88,subject=71; subjects=13; subjected=4,77,0,5,0,6,0,0,0
workshop,88,workshop=73; workshops=15,85,3,0,0,0,0,0,0
lab,87,lab=84; labs=3,83,4,0,0,0,0,0,0
member,87,members=66; member=21,87,0,0,0,0,0,0,0
mostly,87,mostly=87,0,0,0,0,0,87,0,0
resource,87,resources=63; resource=24,87,0,0,0,0,0,0,0
ai,86,ai=86,3,83,0,0,0,0,0,0
air,86,air=85; airs=1,82,3,1,0,0,0,0,0
author,86,author=77; authors=8; authored=1,85,0,1,0,0,0,0,0
base,86,based=82; base=4,4,0,82,0,0,0,0,0
hold,86,held=46; hold=25; holds=9; holding=6,1,0,85,0,0,0,0,0
present,86,present=42; presents=20; presented=14; presenting=10,10,0,61,0,15,0,0,0
